table,field_name,field_class,description,type,values,example,required?,notes
administrations,administration_id,PrimaryKey,row identifier for the administrations table indexing from zero,numeric,,0,yes,unique per row
administrations,dataset_id,ForeignKey,row identifier for datasets indexing from zero (linked to datasets),numeric,,0,yes,linked to datasets.dataset_id
administrations,subject_id,ForeignKey,row identifier for subjects indexing from zero (linked to subjects),numeric,,0,yes,linked to subjects.subject_id
administrations,age,FloatField,age of the participant in days (1 month = 30.44 days; 1 year = 365.25 days),numeric,,365.28,no,
administrations,lab_age,FloatField,lab-internal age recorded for subject (before converting to standardized age in days),numeric,,12,no,
administrations,lab_age_units,CharField,"unit used for lab-internal age recorded for subject (before converting to standardized age in days); should typically be days, months, or years",numeric,days / months / years,months,no,
administrations,monitor_size_x,IntegerField,width of the monitor (in pixels),numeric,,1920,no,
administrations,monitor_size_y,IntegerField,height of the monitor (in pixels),numeric,,1200,no,
administrations,sample_rate,IntegerField,sampling rate of the eyetracker (in Hz),numeric,,60,no,
administrations,tracker,CharField,name of the eye-tracker type/ data source (SMI/ iCoder/ Tobii/ etc.),string,,SMI,no,
administrations,coding_method,CharField,"method used in the experiment for coding gaze data (eyetracking, manual gaze coding, automated gaze coding)",string,eyetracking / manual gaze coding / automated gaze coding,eyetracking,no,
datasets,dataset_id,PrimaryKey,row identifier for the datasets table indexing from zero,numeric,,0,yes,unique per row
datasets,lab_dataset_id,CharField,lab-internal short name of the dataset,string,,SwitchingCues,no,
datasets,dataset_name,CharField,"a descriptive label, could be a short citation. Needs to be unique in the database",string,,pomper_saffran_2016,yes,
datasets,cite,CharField,full citation (APA format),string,,"Pomper, R., & Saffran, J. R. (2016). Roses are red, socks are blue: Switching dimensions disrupts young children’s language processing. PLoS ONE 11(6): e0158459.",no,
datasets,shortcite,CharField,shortened citation (author (year) APA-style in-text citation),string,,Pomper & Saffran (2016),no,
subjects,subject_id,PrimaryKey,database unique participant identifier (indexing from zero),numeric,,0,yes,unique per row
subjects,sex,CharField,sex of the participants (male/ female/ other/ unspecified),string,female / male / other/ unspecified,female,no,
subjects,lab_subject_id,CharField,lab unique participant identifer,string,,,no,
trials,trial_id,PrimaryKey,row identifier for the trials table indexing from zero,numeric,,0,yes,unique per row
